"","opening_date","date","line_code","station_code","is_peak","day_type","station_name","year","month","day"
"1",2015-12-27,2017-08-18,"DTL","DT1",0,"WEEKDAY","Bukit Panjang",2017,8,18
"2",2015-12-27,2017-08-18,"DTL","DT2",0,"WEEKDAY","Cashew",2017,8,18
"3",2015-12-27,2017-08-18,"DTL","DT3",0,"WEEKDAY","Hillview",2017,8,18
"4",2025-02-28,2017-08-18,"DTL","DT4",0,"WEEKDAY","Hume",2017,8,18
"5",2015-12-27,2017-08-18,"DTL","DT5",0,"WEEKDAY","Beauty World",2017,8,18
"6",2015-12-27,2017-08-18,"DTL","DT6",0,"WEEKDAY","King Albert Park",2017,8,18
"7",2015-12-27,2017-08-18,"DTL","DT7",0,"WEEKDAY","Sixth Avenue",2017,8,18
"8",2015-12-27,2017-08-18,"DTL","DT8",0,"WEEKDAY","Tan Kah Kee",2017,8,18
"9",2015-12-27,2017-08-18,"DTL","DT9",0,"WEEKDAY","Botanic Gardens",2017,8,18
"10",2015-12-27,2017-08-18,"DTL","DT10",0,"WEEKDAY","Stevens",2017,8,18
"11",2015-12-27,2017-08-18,"DTL","DT11",0,"WEEKDAY","Newton",2017,8,18
"12",2015-12-27,2017-08-18,"DTL","DT12",0,"WEEKDAY","Little India",2017,8,18
"13",2015-12-27,2017-08-18,"DTL","DT13",0,"WEEKDAY","Rochor",2017,8,18
"14",2013-12-22,2017-08-18,"DTL","DT14",0,"WEEKDAY","Bugis",2017,8,18
"15",2013-12-22,2017-08-18,"DTL","DT15",0,"WEEKDAY","Promenade",2017,8,18
"16",2013-12-22,2017-08-18,"DTL","DT16",0,"WEEKDAY","Bayfront",2017,8,18
"17",2013-12-22,2017-08-18,"DTL","DT17",0,"WEEKDAY","Downtown",2017,8,18
"18",2013-12-22,2017-08-18,"DTL","DT18",0,"WEEKDAY","Telok Ayer",2017,8,18
"19",2013-12-22,2017-08-18,"DTL","DT19",0,"WEEKDAY","Chinatown",2017,8,18
"20",2017-10-21,2017-08-18,"DTL","DT20",0,"WEEKDAY","Fort Canning",2017,8,18
"21",2017-10-21,2017-08-18,"DTL","DT21",0,"WEEKDAY","Bencoolen",2017,8,18
"22",2017-10-21,2017-08-18,"DTL","DT22",0,"WEEKDAY","Jalan Besar",2017,8,18
"23",2017-10-21,2017-08-18,"DTL","DT23",0,"WEEKDAY","Bendemeer",2017,8,18
"24",2017-10-21,2017-08-18,"DTL","DT24",0,"WEEKDAY","Geylang Bahru",2017,8,18
"25",2017-10-21,2017-08-18,"DTL","DT25",0,"WEEKDAY","Mattar",2017,8,18
"26",2017-10-21,2017-08-18,"DTL","DT26",0,"WEEKDAY","MacPherson",2017,8,18
"27",2017-10-21,2017-08-18,"DTL","DT27",0,"WEEKDAY","Ubi",2017,8,18
"28",2017-10-21,2017-08-18,"DTL","DT28",0,"WEEKDAY","Kaki Bukit",2017,8,18
"29",2017-10-21,2017-08-18,"DTL","DT29",0,"WEEKDAY","Bedok North",2017,8,18
"30",2017-10-21,2017-08-18,"DTL","DT30",0,"WEEKDAY","Bedok Reservoir",2017,8,18
"31",2017-10-21,2017-08-18,"DTL","DT31",0,"WEEKDAY","Tampines West",2017,8,18
"32",2017-10-21,2017-08-18,"DTL","DT32",0,"WEEKDAY","Tampines",2017,8,18
"33",2017-10-21,2017-08-18,"DTL","DT33",0,"WEEKDAY","Tampines East",2017,8,18
"34",2017-10-21,2017-08-18,"DTL","DT34",0,"WEEKDAY","Upper Changi",2017,8,18
"35",2017-10-21,2017-08-18,"DTL","DT35",0,"WEEKDAY","Expo",2017,8,18
"36",2003-06-20,2017-11-16,"NEL","NE5",1,"WEEKDAY","Clarke Quay",2017,11,16
"37",2003-06-20,2017-11-16,"NEL","NE6",1,"WEEKDAY","Dhoby Ghaut",2017,11,16
"38",2003-06-20,2017-11-16,"NEL","NE7",1,"WEEKDAY","Little India",2017,11,16
"39",2003-06-20,2017-11-16,"NEL","NE8",1,"WEEKDAY","Farrer Park",2017,11,16
"40",2003-06-20,2017-11-16,"NEL","NE9",1,"WEEKDAY","Boon Keng",2017,11,16
"41",2003-06-20,2017-11-16,"NEL","NE10",1,"WEEKDAY","Potong Pasir",2017,11,16
"42",2011-06-20,2017-11-16,"NEL","NE11",1,"WEEKDAY","Woodleigh",2017,11,16
"43",2003-06-20,2017-11-16,"NEL","NE12",1,"WEEKDAY","Serangoon",2017,11,16
"44",2003-06-20,2017-11-16,"NEL","NE13",1,"WEEKDAY","Kovan",2017,11,16
"45",2003-06-20,2017-11-16,"NEL","NE14",1,"WEEKDAY","Hougang",2017,11,16
"46",2006-01-15,2017-11-16,"NEL","NE15",1,"WEEKDAY","Buangkok",2017,11,16
"47",2003-06-20,2017-11-16,"NEL","NE16",1,"WEEKDAY","Sengkang",2017,11,16
"48",2003-06-20,2017-11-16,"NEL","NE17",1,"WEEKDAY","Punggol",2017,11,16
"49",2015-12-27,2018-03-01,"DTL","DT1",0,"WEEKDAY","Bukit Panjang",2018,3,1
"50",2015-12-27,2018-03-01,"DTL","DT2",0,"WEEKDAY","Cashew",2018,3,1
"51",2015-12-27,2018-03-01,"DTL","DT3",0,"WEEKDAY","Hillview",2018,3,1
"52",2025-02-28,2018-03-01,"DTL","DT4",0,"WEEKDAY","Hume",2018,3,1
"53",2015-12-27,2018-03-01,"DTL","DT5",0,"WEEKDAY","Beauty World",2018,3,1
"54",2015-12-27,2018-03-01,"DTL","DT6",0,"WEEKDAY","King Albert Park",2018,3,1
"55",2015-12-27,2018-03-01,"DTL","DT7",0,"WEEKDAY","Sixth Avenue",2018,3,1
"56",2015-12-27,2018-03-01,"DTL","DT8",0,"WEEKDAY","Tan Kah Kee",2018,3,1
"57",2015-12-27,2018-03-01,"DTL","DT9",0,"WEEKDAY","Botanic Gardens",2018,3,1
"58",2015-12-27,2018-03-01,"DTL","DT10",0,"WEEKDAY","Stevens",2018,3,1
"59",2015-12-27,2018-03-01,"DTL","DT11",0,"WEEKDAY","Newton",2018,3,1
"60",2015-12-27,2018-03-01,"DTL","DT12",0,"WEEKDAY","Little India",2018,3,1
"61",2015-12-27,2018-03-01,"DTL","DT13",0,"WEEKDAY","Rochor",2018,3,1
"62",2013-12-22,2018-03-01,"DTL","DT14",0,"WEEKDAY","Bugis",2018,3,1
"63",2013-12-22,2018-03-01,"DTL","DT15",0,"WEEKDAY","Promenade",2018,3,1
"64",2013-12-22,2018-03-01,"DTL","DT16",0,"WEEKDAY","Bayfront",2018,3,1
"65",2013-12-22,2018-03-01,"DTL","DT17",0,"WEEKDAY","Downtown",2018,3,1
"66",2013-12-22,2018-03-01,"DTL","DT18",0,"WEEKDAY","Telok Ayer",2018,3,1
"67",2013-12-22,2018-03-01,"DTL","DT19",0,"WEEKDAY","Chinatown",2018,3,1
"68",2017-10-21,2018-03-01,"DTL","DT20",0,"WEEKDAY","Fort Canning",2018,3,1
"69",2017-10-21,2018-03-01,"DTL","DT21",0,"WEEKDAY","Bencoolen",2018,3,1
"70",2017-10-21,2018-03-01,"DTL","DT22",0,"WEEKDAY","Jalan Besar",2018,3,1
"71",2017-10-21,2018-03-01,"DTL","DT23",0,"WEEKDAY","Bendemeer",2018,3,1
"72",2017-10-21,2018-03-01,"DTL","DT24",0,"WEEKDAY","Geylang Bahru",2018,3,1
"73",2017-10-21,2018-03-01,"DTL","DT25",0,"WEEKDAY","Mattar",2018,3,1
"74",2017-10-21,2018-03-01,"DTL","DT26",0,"WEEKDAY","MacPherson",2018,3,1
"75",2017-10-21,2018-03-01,"DTL","DT27",0,"WEEKDAY","Ubi",2018,3,1
"76",2017-10-21,2018-03-01,"DTL","DT28",0,"WEEKDAY","Kaki Bukit",2018,3,1
"77",2017-10-21,2018-03-01,"DTL","DT29",0,"WEEKDAY","Bedok North",2018,3,1
"78",2017-10-21,2018-03-01,"DTL","DT30",0,"WEEKDAY","Bedok Reservoir",2018,3,1
"79",2017-10-21,2018-03-01,"DTL","DT31",0,"WEEKDAY","Tampines West",2018,3,1
"80",2017-10-21,2018-03-01,"DTL","DT32",0,"WEEKDAY","Tampines",2018,3,1
"81",2017-10-21,2018-03-01,"DTL","DT33",0,"WEEKDAY","Tampines East",2018,3,1
"82",2017-10-21,2018-03-01,"DTL","DT34",0,"WEEKDAY","Upper Changi",2018,3,1
"83",2017-10-21,2018-03-01,"DTL","DT35",0,"WEEKDAY","Expo",2018,3,1
"84",2003-06-20,2017-04-30,"NEL","NE3",0,"WEEKEND/HOLIDAY","Outram Park",2017,4,30
"85",1990-03-10,2017-06-28,"NSL","NS1",1,"WEEKDAY","Jurong East",2017,6,28
"86",1990-03-10,2017-06-28,"NSL","NS2",1,"WEEKDAY","Bukit Batok",2017,6,28
"87",1990-03-10,2017-06-28,"NSL","NS3",1,"WEEKDAY","Bukit Gombak",2017,6,28
"88",1990-03-10,2017-06-28,"NSL","NS4",1,"WEEKDAY","Choa Chu Kang",2017,6,28
"89",1996-02-10,2017-06-28,"NSL","NS5",1,"WEEKDAY","Yew Tee",2017,6,28
"90",1996-02-10,2017-06-28,"NSL","NS7",1,"WEEKDAY","Kranji",2017,6,28
"91",1996-02-10,2017-06-28,"NSL","NS8",1,"WEEKDAY","Marsiling",2017,6,28
"92",1996-02-10,2017-06-28,"NSL","NS9",1,"WEEKDAY","Woodlands",2017,6,28
"93",1996-02-10,2017-06-28,"NSL","NS10",1,"WEEKDAY","Admiralty",2017,6,28
"94",1996-02-10,2017-06-28,"NSL","NS11",1,"WEEKDAY","Sembawang",2017,6,28
"95",2019-11-02,2017-06-28,"NSL","NS12",1,"WEEKDAY","Canberra",2017,6,28
"96",1998-12-20,2017-06-28,"NSL","NS13",1,"WEEKDAY","Yishun",2017,6,28
"97",1998-12-20,2017-06-28,"NSL","NS14",1,"WEEKDAY","Khatib",2017,6,28
"98",1987-11-07,2017-06-28,"NSL","NS15",1,"WEEKDAY","Yio Chu Kang",2017,6,28
"99",1987-11-07,2017-06-28,"NSL","NS16",1,"WEEKDAY","Ang Mo Kio",2017,6,28
"100",1987-11-07,2017-06-28,"NSL","NS17",1,"WEEKDAY","Bishan",2017,6,28
"101",1987-11-07,2017-06-28,"NSL","NS18",1,"WEEKDAY","Braddell",2017,6,28
"102",1987-11-07,2017-06-28,"NSL","NS19",1,"WEEKDAY","Toa Payoh",2017,6,28
"103",1987-12-12,2017-06-28,"NSL","NS20",1,"WEEKDAY","Novena",2017,6,28
"104",1987-12-12,2017-06-28,"NSL","NS21",1,"WEEKDAY","Newton",2017,6,28
"105",1987-12-12,2017-06-28,"NSL","NS22",1,"WEEKDAY","Orchard",2017,6,28
"106",1987-12-12,2017-06-28,"NSL","NS23",1,"WEEKDAY","Somerset",2017,6,28
