"YEAR_MONTH","day_type","stations","is_peak","AVG_RIDERS","station_code"
"2023-12","WEEKDAY","Admiralty",0,54211.2,"NS10"
"2023-12","WEEKDAY","Admiralty",1,140977,"NS10"
"2023-12","WEEKDAY","Aljunied",0,30138.0666666667,"EW9"
"2023-12","WEEKDAY","Aljunied",1,73893.2,"EW9"
"2023-12","WEEKDAY","Ang Mo Kio",0,66740.0666666667,"NS16"
"2023-12","WEEKDAY","Ang Mo Kio",1,151432.4,"NS16"
"2023-12","WEEKDAY","Bartley",0,7292.53333333333,"CC12"
"2023-12","WEEKDAY","Bartley",1,18325.2,"CC12"
"2023-12","WEEKDAY","Bayfront",0,30737.4333333333,"CE1"
"2023-12","WEEKDAY","Bayfront",0,30737.4333333333,"DT16"
"2023-12","WEEKDAY","Bayfront",1,42077.1,"CE1"
"2023-12","WEEKDAY","Bayfront",1,42077.1,"DT16"
"2023-12","WEEKDAY","Beauty World",0,17901.2666666667,"DT5"
"2023-12","WEEKDAY","Beauty World",1,40964.6,"DT5"
"2023-12","WEEKDAY","Bedok",0,47798.5333333333,"EW5"
"2023-12","WEEKDAY","Bedok",1,107007.8,"EW5"
"2023-12","WEEKDAY","Bedok North",0,9443.2,"DT29"
"2023-12","WEEKDAY","Bedok North",1,27187.2,"DT29"
"2023-12","WEEKDAY","Bedok Reservoir",0,9843.26666666667,"DT30"
"2023-12","WEEKDAY","Bedok Reservoir",1,26966.8,"DT30"
"2023-12","WEEKDAY","Bencoolen",0,10132.8666666667,"DT21"
"2023-12","WEEKDAY","Bencoolen",1,19497.4,"DT21"
"2023-12","WEEKDAY","Bendemeer",0,5738.4,"DT23"
"2023-12","WEEKDAY","Bendemeer",1,18317.6,"DT23"
"2023-12","WEEKDAY","Bishan",0,28315.9666666667,"CC15"
"2023-12","WEEKDAY","Bishan",0,28315.9666666667,"NS17"
"2023-12","WEEKDAY","Bishan",1,61771,"CC15"
"2023-12","WEEKDAY","Bishan",1,61771,"NS17"
"2023-12","WEEKDAY","Boon Keng",0,31100.1333333333,"NE9"
"2023-12","WEEKDAY","Boon Keng",1,72721,"NE9"
"2023-12","WEEKDAY","Boon Lay",0,64884.0666666667,"EW27"
"2023-12","WEEKDAY","Boon Lay",1,177591.8,"EW27"
"2023-12","WEEKDAY","Botanic Gardens",0,4396.36666666667,"CC19"
"2023-12","WEEKDAY","Botanic Gardens",0,4396.36666666667,"DT9"
"2023-12","WEEKDAY","Botanic Gardens",1,8390.4,"CC19"
"2023-12","WEEKDAY","Botanic Gardens",1,8390.4,"DT9"
"2023-12","WEEKDAY","Braddell",0,20373,"NS18"
"2023-12","WEEKDAY","Braddell",1,44197.4,"NS18"
"2023-12","WEEKDAY","Bras Basah",0,6460.33333333333,"CC2"
"2023-12","WEEKDAY","Bras Basah",1,12930.4,"CC2"
"2023-12","WEEKDAY","Bright Hill",0,7097.66666666667,"TE7"
"2023-12","WEEKDAY","Bright Hill",1,18454.6,"TE7"
"2023-12","WEEKDAY","Buangkok",0,28339.8,"NE15"
"2023-12","WEEKDAY","Buangkok",1,65839.4,"NE15"
"2023-12","WEEKDAY","Bugis",0,45639.7666666667,"DT14"
"2023-12","WEEKDAY","Bugis",0,45639.7666666667,"EW12"
"2023-12","WEEKDAY","Bugis",1,76911.6,"DT14"
"2023-12","WEEKDAY","Bugis",1,76911.6,"EW12"
"2023-12","WEEKDAY","Bukit Batok",0,37276.2,"NS2"
"2023-12","WEEKDAY","Bukit Batok",1,99003.8,"NS2"
"2023-12","WEEKDAY","Bukit Gombak",0,27721,"NS3"
"2023-12","WEEKDAY","Bukit Gombak",1,63631.8,"NS3"
"2023-12","WEEKDAY","Bukit Panjang",0,53332.7333333333,"DT1"
"2023-12","WEEKDAY","Bukit Panjang",1,137507.6,"DT1"
"2023-12","WEEKDAY","Buona Vista",0,15695.4,"CC22"
"2023-12","WEEKDAY","Buona Vista",0,15695.4,"EW21"
"2023-12","WEEKDAY","Buona Vista",1,42185.4,"CC22"
"2023-12","WEEKDAY","Buona Vista",1,42185.4,"EW21"
"2023-12","WEEKDAY","Caldecott",0,3494.96666666667,"CC17"
"2023-12","WEEKDAY","Caldecott",0,3494.96666666667,"TE9"
"2023-12","WEEKDAY","Caldecott",1,10265.9,"CC17"
"2023-12","WEEKDAY","Caldecott",1,10265.9,"TE9"
"2023-12","WEEKDAY","Canberra",0,20013.5333333333,"NS12"
"2023-12","WEEKDAY","Canberra",1,54922.4,"NS12"
"2023-12","WEEKDAY","Cashew",0,2790.8,"DT2"
"2023-12","WEEKDAY","Cashew",1,9187.6,"DT2"
"2023-12","WEEKDAY","Changi Airport",0,35667.4,"CG2"
"2023-12","WEEKDAY","Changi Airport",1,49351.6,"CG2"
"2023-12","WEEKDAY","Chinatown",0,40626.9666666667,"DT19"
"2023-12","WEEKDAY","Chinatown",0,40626.9666666667,"NE4"
"2023-12","WEEKDAY","Chinatown",1,62737.1,"DT19"
"2023-12","WEEKDAY","Chinatown",1,62737.1,"NE4"
"2023-12","WEEKDAY","Chinese Garden",0,12710.1333333333,"EW25"
"2023-12","WEEKDAY","Chinese Garden",1,38157.4,"EW25"
"2023-12","WEEKDAY","Choa Chu Kang",0,52196.9333333333,"NS4"
"2023-12","WEEKDAY","Choa Chu Kang",1,126008.2,"NS4"
"2023-12","WEEKDAY","City Hall",0,35073.0333333333,"EW13"
"2023-12","WEEKDAY","City Hall",0,35073.0333333333,"NS25"
"2023-12","WEEKDAY","City Hall",1,60180,"EW13"
"2023-12","WEEKDAY","City Hall",1,60180,"NS25"
"2023-12","WEEKDAY","Clarke Quay",0,19951.7333333333,"NE5"
"2023-12","WEEKDAY","Clarke Quay",1,40578.2,"NE5"
"2023-12","WEEKDAY","Clementi",0,62539.4,"EW23"
"2023-12","WEEKDAY","Clementi",1,155576.8,"EW23"
"2023-12","WEEKDAY","Commonwealth",0,17376.4,"EW20"
"2023-12","WEEKDAY","Commonwealth",1,46181.6,"EW20"
"2023-12","WEEKDAY","Dakota",0,11021.8,"CC8"
"2023-12","WEEKDAY","Dakota",1,24610.4,"CC8"
"2023-12","WEEKDAY","Dhoby Ghaut",0,17397.2222222222,"CC1"
"2023-12","WEEKDAY","Dhoby Ghaut",0,17397.2222222222,"NE6"
"2023-12","WEEKDAY","Dhoby Ghaut",0,17397.2222222222,"NS24"
"2023-12","WEEKDAY","Dhoby Ghaut",1,30297.3333333333,"CC1"
"2023-12","WEEKDAY","Dhoby Ghaut",1,30297.3333333333,"NE6"
"2023-12","WEEKDAY","Dhoby Ghaut",1,30297.3333333333,"NS24"
"2023-12","WEEKDAY","Dover",0,12079.1333333333,"EW22"
"2023-12","WEEKDAY","Dover",1,28098.6,"EW22"
"2023-12","WEEKDAY","Downtown",0,23907.6,"DT17"
"2023-12","WEEKDAY","Downtown",1,66135,"DT17"
"2023-12","WEEKDAY","Esplanade",0,12033.7333333333,"CC3"
"2023-12","WEEKDAY","Esplanade",1,20702,"CC3"
"2023-12","WEEKDAY","Eunos",0,22351,"EW7"
"2023-12","WEEKDAY","Eunos",1,52384.2,"EW7"
"2023-12","WEEKDAY","Expo",0,9381.16666666667,"CG1"
"2023-12","WEEKDAY","Expo",0,9381.16666666667,"DT35"
"2023-12","WEEKDAY","Expo",1,26275.5,"CG1"
"2023-12","WEEKDAY","Expo",1,26275.5,"DT35"
"2023-12","WEEKDAY","Farrer Park",0,42621.8666666667,"NE8"
"2023-12","WEEKDAY","Farrer Park",1,80367,"NE8"
"2023-12","WEEKDAY","Farrer Road",0,6341.4,"CC20"
"2023-12","WEEKDAY","Farrer Road",1,15510.2,"CC20"
"2023-12","WEEKDAY","Fort Canning",0,8203,"DT20"
"2023-12","WEEKDAY","Fort Canning",1,18715.2,"DT20"
"2023-12","WEEKDAY","Gardens by The Bay",0,4822.73333333333,"TE22"
"2023-12","WEEKDAY","Gardens by The Bay",1,8398.6,"TE22"
"2023-12","WEEKDAY","Geylang Bahru",0,7242.86666666667,"DT24"
"2023-12","WEEKDAY","Geylang Bahru",1,19824.2,"DT24"
"2023-12","WEEKDAY","Great World",0,10527.0666666667,"TE15"
"2023-12","WEEKDAY","Great World",1,20037.8,"TE15"
"2023-12","WEEKDAY","Gul Circle",0,3727.73333333333,"EW30"
"2023-12","WEEKDAY","Gul Circle",1,22144,"EW30"
"2023-12","WEEKDAY","HarbourFront",0,37966.1333333333,"CC29"
"2023-12","WEEKDAY","HarbourFront",0,37966.1333333333,"NE1"
"2023-12","WEEKDAY","HarbourFront",1,70302.6,"CC29"
"2023-12","WEEKDAY","HarbourFront",1,70302.6,"NE1"
"2023-12","WEEKDAY","Havelock",0,8783.33333333333,"TE16"
"2023-12","WEEKDAY","Havelock",1,18126.6,"TE16"
"2023-12","WEEKDAY","Haw Par Villa",0,9225.26666666667,"CC25"
"2023-12","WEEKDAY","Haw Par Villa",1,26457.2,"CC25"
"2023-12","WEEKDAY","Hillview",0,9239.4,"DT3"
"2023-12","WEEKDAY","Hillview",1,22188.8,"DT3"
"2023-12","WEEKDAY","Holland Village",0,14464.8,"CC21"
"2023-12","WEEKDAY","Holland Village",1,24788.4,"CC21"
"2023-12","WEEKDAY","Hougang",0,42738.1333333333,"NE14"
"2023-12","WEEKDAY","Hougang",1,98595.6,"NE14"
"2023-12","WEEKDAY","Jalan Besar",0,13438.1333333333,"DT22"
