"","station_code","stations","line","line_code","line_number","join_station","is_interchange","is_above_ground","operator","commencement","n_stations","length","cost","cost_per_km","n_lines"
"1","CE1","Bayfront","Circle Line","CCL",1,"bayfront",1,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,2
"2","CC1","Dhoby Ghaut","Circle Line","CCL",1,"dhobyghaut",1,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,3
"3","CC2","Bras Basah","Circle Line","CCL",2,"brasbasah",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"4","CE2","Marina Bay","Circle Line","CCL",2,"marinabay",1,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,3
"5","CC3","Esplanade","Circle Line","CCL",3,"esplanade",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"6","CC4","Promenade","Circle Line","CCL",4,"promenade",1,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,2
"7","CC5","Nicoll Highway","Circle Line","CCL",5,"nicollhighway",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"8","CC6","Stadium","Circle Line","CCL",6,"stadium",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"9","CC7","Mountbatten","Circle Line","CCL",7,"mountbatten",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"10","CC8","Dakota","Circle Line","CCL",8,"dakota",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"11","CC9","Paya Lebar","Circle Line","CCL",9,"payalebar",1,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,2
"12","CC10","MacPherson","Circle Line","CCL",10,"macpherson",1,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,2
"13","CC11","Tai Seng","Circle Line","CCL",11,"taiseng",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"14","CC12","Bartley","Circle Line","CCL",12,"bartley",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"15","CC13","Serangoon","Circle Line","CCL",13,"serangoon",1,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,2
"16","CC14","Lorong Chuan","Circle Line","CCL",14,"lorongchuan",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"17","CC15","Bishan","Circle Line","CCL",15,"bishan",1,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,2
"18","CC16","Marymount","Circle Line","CCL",16,"marymount",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"19","CC17","Caldecott","Circle Line","CCL",17,"caldecott",1,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,2
"20","CC19","Botanic Gardens","Circle Line","CCL",19,"botanicgardens",1,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,2
"21","CC20","Farrer Road","Circle Line","CCL",20,"farrerroad",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"22","CC21","Holland Village","Circle Line","CCL",21,"hollandvillage",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"23","CC22","Buona Vista","Circle Line","CCL",22,"buonavista",1,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,2
"24","CC23","one-north","Circle Line","CCL",23,"one-north",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"25","CC24","Kent Ridge","Circle Line","CCL",24,"kentridge",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"26","CC25","Haw Par Villa","Circle Line","CCL",25,"hawparvilla",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"27","CC26","Pasir Panjang","Circle Line","CCL",26,"pasirpanjang",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"28","CC27","Labrador Park","Circle Line","CCL",27,"labradorpark",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
"29","CC28","Telok Blangah","Circle Line","CCL",28,"telokblangah",0,0,"SMRT Trains",2009-05-28,30,35.5,10.81,0.304507042253521,1
