Source.Name,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
transport_node_train_202312.csv,2023-12,WEEKDAY,11,TRAIN,NS7,20301,15305
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,11,TRAIN,NS7,12854,13130
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,16,TRAIN,SW4,1150,1188
transport_node_train_202312.csv,2023-12,WEEKDAY,16,TRAIN,SW4,1706,2077
transport_node_train_202312.csv,2023-12,WEEKDAY,10,TRAIN,CC5,2506,4630
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1613,2569
transport_node_train_202312.csv,2023-12,WEEKDAY,13,TRAIN,CC23,11033,13815
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,13,TRAIN,CC23,2514,2012
transport_node_train_202312.csv,2023-12,WEEKDAY,22,TRAIN,EW33,1155,2422
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,22,TRAIN,EW33,1285,2145
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,14,TRAIN,CC21,6377,5119
transport_node_train_202312.csv,2023-12,WEEKDAY,14,TRAIN,CC21,10514,7686
transport_node_train_202312.csv,2023-12,WEEKDAY,12,TRAIN,TE16,6400,4406
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,12,TRAIN,TE16,4488,3225
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,59663,56023
transport_node_train_202312.csv,2023-12,WEEKDAY,18,TRAIN,EW24/NS1,207974,159150
transport_node_train_202312.csv,2023-12,WEEKDAY,7,TRAIN,NE10,20174,19392
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,7,TRAIN,NE10,4371,3379
transport_node_train_202312.csv,2023-12,WEEKDAY,8,TRAIN,EW22,12838,23403
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2372,2197
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1290,535
transport_node_train_202312.csv,2023-12,WEEKDAY,7,TRAIN,BP10,9454,1737
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,15,TRAIN,NE10,7502,7536
