"","join_station","mrt_score"
"1","admiralty",0
"2","aljunied",0
"3","angmokio",0
"4","bartley",0
"5","bayfront",2
"6","bayshore",0
"7","beautyworld",0
"8","bedok",0
"9","bedoknorth",0
"10","bedokreservoir",0
"11","bencoolen",0
"12","bendemeer",0
"13","bishan",2
"14","boonkeng",0
"15","boonlay",0
"16","botanicgardens",2
"17","braddell",0
"18","brasbasah",0
"19","brighthill",0
"20","buangkok",0
"21","bugis",2
"22","bukitbatok",0
"23","bukitgombak",0
"24","bukitpanjang",0
"25","buonavista",2
"26","caldecott",2
"27","canberra",0
"28","cashew",0
"29","changiairport",0
"30","chinatown",2
"31","chinesegarden",0
"32","choachukang",0
"33","cityhall",2
"34","clarkequay",0
"35","clementi",0
"36","commonwealth",0
"37","dakota",0
"38","dhobyghaut",3
"39","dover",0
"40","downtown",0
"41","esplanade",0
"42","eunos",0
"43","expo",2
"44","farrerpark",0
"45","farrerroad",0
"46","fortcanning",0
"47","gardensbythebay",0
"48","geylangbahru",0
"49","greatworld",0
"50","gulcircle",0
"51","harbourfront",2
"52","havelock",0
"53","hawparvilla",0
"54","hillview",0
"55","hollandvillage",0
"56","hougang",0
"57","hume",0
"58","jalanbesar",0
"59","jookoon",0
"60","jurongeast",2
"61","kakibukit",0
"62","kallang",0
"63","katongpark",0
"64","kembangan",0
"65","kentridge",0
"66","khatib",0
"67","kingalbertpark",0
"68","kovan",0
"69","kranji",0
"70","labradorpark",0
"71","lakeside",0
"72","lavender",0
"73","lentor",0
"74","littleindia",2
"75","lorongchuan",0
"76","macpherson",2
"77","marinabay",3
"78","marinasouthpier",0
"79","marineparade",0
"80","marineterrace",0
"81","marsiling",0
"82","marymount",0
"83","mattar",0
"84","maxwell",0
"85","mayflower",0
"86","mountbatten",0
"87","napier",0
"88","newton",2
"89","nicollhighway",0
"90","novena",0
"91","one-north",0
"92","orchard",2
"93","orchardboulevard",0
"94","outrampark",3
"95","pasirpanjang",0
"96","pasirris",0
"97","payalebar",2
"98","pioneer",0
"99","potongpasir",0
"100","promenade",2
"101","punggol",0
"102","punggolcoast",0
"103","queenstown",0
"104","rafflesplace",2
"105","redhill",0
"106","rochor",0
"107","sembawang",0
"108","sengkang",0
"109","serangoon",2
"110","shentonway",0
"111","siglap",0
"112","simei",0
"113","sixthavenue",0
"114","somerset",0
"115","springleaf",0
"116","stadium",0
"117","stevens",2
"118","taiseng",0
"119","tampines",2
"120","tampineseast",0
"121","tampineswest",0
"122","tanahmerah",0
"123","tanjongkatong",0
"124","tanjongpagar",0
"125","tanjongrhu",0
"126","tankahkee",0
"127","telokayer",0
"128","telokblangah",0
"129","tiongbahru",0
"130","toapayoh",0
"131","tuascrescent",0
"132","tuaslink",0
"133","tuaswestroad",0
"134","ubi",0
"135","upperchangi",0
"136","upperthomson",0
"137","woodlands",2
"138","woodlandsnorth",0
"139","woodlandssouth",0
"140","woodleigh",0
"141","yewtee",0
"142","yiochukang",0
"143","yishun",0
