"station_code","stations","line","line_code","line_number","join_station","is_interchange","avg_bus_score","avg_walk_score","Score","Reachable_Stations","Reachable_Count","MRT_Score","avg_mrt_score"
"CE1","Bayfront","Circle Line","CCL",1,"bayfront",1,0.57651439067397,0,0.534052878134794,"MARINA BAY MRT STATION (CE2)/MARINA BAY MRT STATION (NS27)/SHENTON WAY MRT STATION (TE19)/DOWNTOWN MRT STATION (DT17)/PROMENADE MRT STATION (DT15)/RAFFLES PLACE MRT STATION (EW14 / NS26)/TELOK AYER MRT STATION (DT18)/PRINCE EDWARD ROAD MRT STATION (CC32)/TANJONG PAGAR MRT STATION (EW15)/MARINA BAY MRT STATION/RAFFLES PLACE MRT STATION/GARDENS BY THE BAY MRT STATION (TE22)/MARINA SOUTH MRT STATION (TE21)/MAXWELL MRT STATION (TE18)/PROMENADE MRT STATION (CC4)/CITY HALL MRT STATION (EW13 / NS25)/BRAS BASAH MRT STATION (CC2)/ESPLANADE MRT STATION (CC3)/CITY HALL MRT STATION/BENCOOLEN MRT STATION (DT21)/BUGIS MRT STATION (DT14)/MARINA BAY MRT STATION (TE20)",22,0.458333333333333,0.458333333333333
"CC1","Dhoby Ghaut","Circle Line","CCL",1,"dhobyghaut",1,0.61542794822742,0.0318181818181818,0.482631044190939,NA,0,0,0
"CC2","Bras Basah","Circle Line","CCL",2,"brasbasah",0,0.718174981140608,0.0545454545454545,0.159998632591758,NA,0,0,0
"CE2","Marina Bay","Circle Line","CCL",2,"marinabay",1,0.555332938687921,0.0358974358974359,0.471835818506815,NA,0,0,0
"CC3","Esplanade","Circle Line","CCL",3,"esplanade",0,0.785616232946441,0.0301075268817204,0.303655504653804,"CHINATOWN MRT STATION (DT19)/CHINATOWN MRT STATION (NE4)/CLARKE QUAY MRT STATION (NE5)/MAXWELL MRT STATION (TE18)/ROCHOR MRT STATION (DT13)/CITY HALL MRT STATION (EW13 / NS25)/BENCOOLEN MRT STATION (DT21)/BRAS BASAH MRT STATION (CC2)/BUGIS MRT STATION (DT14)/BUGIS MRT STATION (EW12)/FORT CANNING MRT STATION (DT20)/JALAN BESAR MRT STATION (DT22)/LAVENDER MRT STATION (EW11)/CHINATOWN MRT STATION/CLARKE QUAY MRT STATION/BUGIS MRT STATION/CITY HALL MRT STATION/LAVENDER MRT STATION/SOMERSET MRT STATION (NS23)/BENDEMEER MRT STATION (DT23)/DHOBY GHAUT MRT STATION (NS24)/DHOBY GHAUT MRT STATION (CC1)/DHOBY GHAUT MRT STATION (NE6)/SOMERSET MRT STATION/RAFFLES PLACE MRT STATION (EW14 / NS26)/FARRER PARK MRT STATION (NE8)/RAFFLES PLACE MRT STATION/FARRER PARK MRT STATION/PROMENADE MRT STATION (DT15)/LITTLE INDIA MRT STATION (DT12)/LITTLE INDIA MRT STATION (NE7)/LITTLE INDIA MRT STATION/OUTRAM PARK MRT STATION (NE3)/OUTRAM PARK MRT STATION (EW16)/OUTRAM PARK MRT STATION (TE17)/OUTRAM PARK MRT STATION/PROMENADE MRT STATION (CC4)/TELOK AYER MRT STATION (DT18)/SHENTON WAY MRT STATION (TE19)/DOWNTOWN MRT STATION (DT17)/NICOLL HIGHWAY MRT STATION (CC5)/TANJONG PAGAR MRT STATION (EW15)/PRINCE EDWARD ROAD MRT STATION (CC32)/BAYFRONT MRT STATION (DT16 / CE1)",44,0.916666666666667,0.916666666666667
"CC4","Promenade","Circle Line","CCL",4,"promenade",1,0.602489958529367,0.0064516129032258,0.567745975576841,"NICOLL HIGHWAY MRT STATION (CC5)/PROMENADE MRT STATION (DT15)/CITY HALL MRT STATION (EW13 / NS25)/BUGIS MRT STATION (DT14)/BUGIS MRT STATION (EW12)/ESPLANADE MRT STATION (CC3)/BUGIS MRT STATION/CITY HALL MRT STATION/CLARKE QUAY MRT STATION (NE5)/FORT CANNING MRT STATION (DT20)/CLARKE QUAY MRT STATION/DHOBY GHAUT MRT STATION (NS24)/DHOBY GHAUT MRT STATION (CC1)/BENCOOLEN MRT STATION (DT21)/BRAS BASAH MRT STATION (CC2)/ROCHOR MRT STATION (DT13)/BAYFRONT MRT STATION (DT16 / CE1)/DHOBY GHAUT MRT STATION (NE6)/JALAN BESAR MRT STATION (DT22)/LAVENDER MRT STATION (EW11)/LAVENDER MRT STATION/SHENTON WAY MRT STATION (TE19)/DOWNTOWN MRT STATION (DT17)/RAFFLES PLACE MRT STATION (EW14 / NS26)/TELOK AYER MRT STATION (DT18)/RAFFLES PLACE MRT STATION/MARINA BAY MRT STATION (CE2)/MARINA BAY MRT STATION (NS27)/MARINA BAY MRT STATION/MARINA BAY MRT STATION (TE20)",30,0.625,0.635416666666667
"CC5","Nicoll Highway","Circle Line","CCL",5,"nicollhighway",0,0.446605255936137,0,0.0893210511872274,NA,0,0,0
"CC6","Stadium","Circle Line","CCL",6,"stadium",0,0.385019205912533,0,0.102003841182507,"TANJONG RHU MRT STATION (TE23)/KALLANG MRT STATION (EW10)/MOUNTBATTEN MRT STATION (CC7)/MOUNTBATTEN MRT STATION/NICOLL HIGHWAY MRT STATION (CC5)/DAKOTA MRT STATION (CC8)/DAKOTA MRT STATION/KATONG PARK MRT STATION (TE24)",8,0.166666666666667,0.166666666666667
"CC7","Mountbatten","Circle Line","CCL",7,"mountbatten",0,0.497503654268799,0.025,0.14137573085376,"STADIUM MRT STATION (CC6)/DAKOTA MRT STATION (CC8)/MOUNTBATTEN MRT STATION (CC7)/DAKOTA MRT STATION/KALLANG MRT STATION (EW10)/KATONG PARK MRT STATION (TE24)/ALJUNIED MRT STATION (EW9)/TANJONG KATONG MRT STATION (TE25)/TANJONG RHU MRT STATION (TE23)/PAYA LEBAR MRT STATION (CC9)/PAYA LEBAR MRT STATION (EW8)",11,0.229166666666667,0.229166666666667
"CC8","Dakota","Circle Line","CCL",8,"dakota",0,0.44174763574356,0.0222222222222222,0.138766193815379,"KALLANG MRT STATION (EW10)/PAYA LEBAR MRT STATION (CC9)/DAKOTA MRT STATION (CC8)/PAYA LEBAR MRT STATION (EW8)/MOUNTBATTEN MRT STATION (CC7)/MOUNTBATTEN MRT STATION/EUNOS MRT STATION (EW7)/MACPHERSON MRT STATION (DT26)/MACPHERSON MRT STATION (CC10)/MACPHERSON MRT STATION/STADIUM MRT STATION (CC6)/KATONG PARK MRT STATION (TE24)/TANJONG KATONG MRT STATION (TE25)/MARINE PARADE MRT STATION (TE26)",14,0.291666666666667,0.291666666666667
