"line_code","DAY_TYPE","station_code","is_peak","stations","AVG_RIDERS"
"CCL","WEEKDAY","CC10",0,"MacPherson",11579.2944444444
"CCL","WEEKDAY","CC10",1,"MacPherson",34232.3666666667
"CCL","WEEKDAY","CC11",0,"Tai Seng",24676.7111111111
"CCL","WEEKDAY","CC11",1,"Tai Seng",92960.2333333333
"CCL","WEEKDAY","CC12",0,"Bartley",10424.5777777778
"CCL","WEEKDAY","CC12",1,"Bartley",26733.9666666667
"CCL","WEEKDAY","CC14",0,"Lorong Chuan",10665.4888888889
"CCL","WEEKDAY","CC14",1,"Lorong Chuan",29837.5333333333
"CCL","WEEKDAY","CC16",0,"Marymount",10689.1444444444
"CCL","WEEKDAY","CC16",1,"Marymount",33232.0333333333
"CCL","WEEKDAY","CC17",0,"Caldecott",5065.08333333333
"CCL","WEEKDAY","CC17",1,"Caldecott",15417.1
"CCL","WEEKDAY","CC19",0,"Botanic Gardens",5069.51666666667
"CCL","WEEKDAY","CC19",1,"Botanic Gardens",10845.3833333333
"CCL","WEEKDAY","CC2",0,"Bras Basah",8709.48888888889
"CCL","WEEKDAY","CC2",1,"Bras Basah",17862.3666666667
"CCL","WEEKDAY","CC20",0,"Farrer Road",7992.82222222222
"CCL","WEEKDAY","CC20",1,"Farrer Road",20432.2666666667
"CCL","WEEKDAY","CC21",0,"Holland Village",16725.1666666667
"CCL","WEEKDAY","CC21",1,"Holland Village",30837.4666666667
"CCL","WEEKDAY","CC23",0,"one-north",22863.4222222222
"CCL","WEEKDAY","CC23",1,"one-north",69819.0666666667
"CCL","WEEKDAY","CC24",0,"Kent Ridge",34401.8555555556
"CCL","WEEKDAY","CC24",1,"Kent Ridge",87511.3666666667
"CCL","WEEKDAY","CC25",0,"Haw Par Villa",9531.64444444444
"CCL","WEEKDAY","CC25",1,"Haw Par Villa",29609
"CCL","WEEKDAY","CC26",0,"Pasir Panjang",6717.86666666667
"CCL","WEEKDAY","CC26",1,"Pasir Panjang",27179.3666666667
"CCL","WEEKDAY","CC27",0,"Labrador Park",8638.51111111111
"CCL","WEEKDAY","CC27",1,"Labrador Park",37637.4333333333
"CCL","WEEKDAY","CC28",0,"Telok Blangah",5829.54444444444
"CCL","WEEKDAY","CC28",1,"Telok Blangah",13895.4
"CCL","WEEKDAY","CC3",0,"Esplanade",12239.3666666667
"CCL","WEEKDAY","CC3",1,"Esplanade",22512.0333333333
"CCL","WEEKDAY","CC4",0,"Promenade",16554.4277777778
"CCL","WEEKDAY","CC4",1,"Promenade",35300.5166666667
"CCL","WEEKDAY","CC5",0,"Nicoll Highway",7163.8
"CCL","WEEKDAY","CC5",1,"Nicoll Highway",16665.3
"CCL","WEEKDAY","CC6",0,"Stadium",14790.2888888889
"CCL","WEEKDAY","CC6",1,"Stadium",27644.0333333333
"CCL","WEEKDAY","CC7",0,"Mountbatten",10327.2777777778
"CCL","WEEKDAY","CC7",1,"Mountbatten",25909.1
"CCL","WEEKDAY","CC8",0,"Dakota",13230.0111111111
"CCL","WEEKDAY","CC8",1,"Dakota",31716.1333333333
"CCL","WEEKDAY","CE1",0,"Bayfront",30339.9388888889
"CCL","WEEKDAY","CE1",1,"Bayfront",40475.2333333333
"CGL","WEEKDAY","CG1",0,"Expo",10372.1
"CGL","WEEKDAY","CG1",1,"Expo",30169.6333333333
"CGL","WEEKDAY","CG2",0,"Changi Airport",36857.5111111111
"CGL","WEEKDAY","CG2",1,"Changi Airport",52108.4666666667
"DTL","WEEKDAY","DT1",0,"Bukit Panjang",59082.9111111111
"DTL","WEEKDAY","DT1",1,"Bukit Panjang",166294.9
"DTL","WEEKDAY","DT10",0,"Stevens",8639.25555555556
"DTL","WEEKDAY","DT10",1,"Stevens",21881.8666666667
"DTL","WEEKDAY","DT13",0,"Rochor",18164.0222222222
"DTL","WEEKDAY","DT13",1,"Rochor",31231.8
"DTL","WEEKDAY","DT17",0,"Downtown",29774.4333333333
"DTL","WEEKDAY","DT17",1,"Downtown",85956.1
"DTL","WEEKDAY","DT18",0,"Telok Ayer",24108.3555555556
"DTL","WEEKDAY","DT18",1,"Telok Ayer",66019.7
"DTL","WEEKDAY","DT2",0,"Cashew",3768.05555555556
