"","station_code","stations","line","line_code","line_number","join_station","is_interchange","mrt_score","bus_score","walk_score","score"
"1","CE1","Bayfront","Circle Line","CCL",1,"bayfront",1,2,57.6100193284594,NA,0.160776125578843
"2","CC1","Dhoby Ghaut","Circle Line","CCL",1,"dhobyghaut",1,3,309.43560092593,2.56926901860605,0.844737037099634
"3","CC2","Bras Basah","Circle Line","CCL",2,"brasbasah",0,0,148.061339576876,4.83871401192009,0.406713557150193
"4","CE2","Marina Bay","Circle Line","CCL",2,"marinabay",1,3,137.507663650431,1.70906775338294,0.381587300875181
"5","CC3","Esplanade","Circle Line","CCL",3,"esplanade",0,0,145.228273691111,2.76699273673566,0.39513667225613
"6","CC4","Promenade","Circle Line","CCL",4,"promenade",1,2,151.963984524224,0.810930216216329,0.415602159671098
"7","CC5","Nicoll Highway","Circle Line","CCL",5,"nicollhighway",0,0,50.077921758074,NA,0.134422499758786
"8","CC6","Stadium","Circle Line","CCL",6,"stadium",0,0,14.3422725210286,NA,0.0384984850971291
"9","CC7","Mountbatten","Circle Line","CCL",7,"mountbatten",0,0,43.9776177788864,0.810930216216329,0.119602480263326
"10","CC8","Dakota","Circle Line","CCL",8,"dakota",0,0,49.4858928748086,0.810930216216329,0.134388159895359
"11","CC9","Paya Lebar","Circle Line","CCL",9,"payalebar",1,2,67.9110372450372,NA,0.188426805355369
"12","CC10","MacPherson","Circle Line","CCL",10,"macpherson",1,2,78.0866790841419,NA,0.215740942297204
"13","CC11","Tai Seng","Circle Line","CCL",11,"taiseng",0,0,29.8067567991635,NA,0.0800092858885413
"14","CC12","Bartley","Circle Line","CCL",12,"bartley",0,0,45.4301346481205,NA,0.121946599407233
"15","CC13","Serangoon","Circle Line","CCL",13,"serangoon",1,2,71.8538865343141,NA,0.19901046456146
"16","CC14","Lorong Chuan","Circle Line","CCL",14,"lorongchuan",0,0,24.2798656860513,NA,0.0651736359007423
"17","CC15","Bishan","Circle Line","CCL",15,"bishan",1,2,38.7907854562598,NA,0.110260282032711
"18","CC16","Marymount","Circle Line","CCL",16,"marymount",0,0,22.043608377892,NA,0.0591709247874729
"19","CC17","Caldecott","Circle Line","CCL",17,"caldecott",1,2,40.8382730888934,NA,0.115756284984539
"20","CC19","Botanic Gardens","Circle Line","CCL",19,"botanicgardens",1,2,62.3866317905345,NA,0.173597827538301
"21","CC20","Farrer Road","Circle Line","CCL",20,"farrerroad",0,0,16.1906023417451,NA,0.0434598953585155
"22","CC21","Holland Village","Circle Line","CCL",21,"hollandvillage",0,0,9.65194452670022,NA,0.0259083936645791
"23","CC22","Buona Vista","Circle Line","CCL",22,"buonavista",1,2,38.591555046757,NA,0.109725494470984
"24","CC23","one-north","Circle Line","CCL",23,"one-north",0,0,14.3992624273487,NA,0.0386514612071517
"25","CC24","Kent Ridge","Circle Line","CCL",24,"kentridge",0,0,15.1162470307225,NA,0.040576039130726
"26","CC25","Haw Par Villa","Circle Line","CCL",25,"hawparvilla",0,0,15.3805720413535,NA,0.0412855579651824
"27","CC26","Pasir Panjang","Circle Line","CCL",26,"pasirpanjang",0,0,10.7913788098886,NA,0.0289669392127946
"28","CC27","Labrador Park","Circle Line","CCL",27,"labradorpark",0,0,30.086311551267,0.693147180559945,0.0820886796417402
"29","CC28","Telok Blangah","Circle Line","CCL",28,"telokblangah",0,0,15.3024824868376,0.693147180559945,0.0424049390015492
"30","CC29","HarbourFront","Circle Line","CCL",29,"harbourfront",1,2,27.1647949512251,NA,0.079053022406233
"31","CG1","Expo","Changi Airport Branch Line","CGL",1,"expo",1,2,16.4261684130578,NA,0.0502276843618532
"32","CG2","Changi Airport","Changi Airport Branch Line","CGL",2,"changiairport",0,0,NA,NA,0
"33","DT1","Bukit Panjang","Downtown Line","DTL",1,"bukitpanjang",0,0,33.8650793729489,NA,0.0909029061915401
"34","DT2","Cashew","Downtown Line","DTL",2,"cashew",0,0,24.0381362816637,NA,0.0645247697005841
"35","DT3","Hillview","Downtown Line","DTL",3,"hillview",0,0,25.2916464632098,NA,0.0678895253885405
"36","DT4","Hume","Downtown Line","DTL",4,"hume",0,0,13.1135567123161,NA,0.0352002841194967
"37","DT5","Beauty World","Downtown Line","DTL",5,"beautyworld",0,0,13.3692234553359,NA,0.0358865618541826
"38","DT6","King Albert Park","Downtown Line","DTL",6,"kingalbertpark",0,0,19.4701378018223,NA,0.0522630433150317
"39","DT7","Sixth Avenue","Downtown Line","DTL",7,"sixthavenue",0,0,35.1088639277261,NA,0.09424155570304
"40","DT8","Tan Kah Kee","Downtown Line","DTL",8,"tankahkee",0,0,34.788693097032,NA,0.0933821317912477
"41","DT9","Botanic Gardens","Downtown Line","DTL",9,"botanicgardens",1,2,62.3866317905345,NA,0.173597827538301
"42","DT10","Stevens","Downtown Line","DTL",10,"stevens",1,2,47.2750842075802,NA,0.133034402978913
"43","DT11","Newton","Downtown Line","DTL",11,"newton",1,2,100.585135616318,NA,0.276132800856747
"44","DT12","Little India","Downtown Line","DTL",12,"littleindia",1,2,184.184776281845,0.693147180559945,0.501865529960139
"45","DT13","Rochor","Downtown Line","DTL",13,"rochor",0,0,103.442453641468,2.81910873787467,0.283072309062784
"46","DT14","Bugis","Downtown Line","DTL",14,"bugis",1,2,368.445376573302,2.53417769879478,1
