"","id","station_code","stations","line_code","day_type","is_peak","line_age","n_riders","rain_fall.mm.","weather_condition","xgb_score","xgb_scaled","vul_category"
"1",85,"EW18","Redhill","EWL","WEEKDAY",1,37,74353.9333333333,1.0199999,"heavy",0.121501803398132,1,"Very High"
"2",120,"NS3","Bukit Gombak","NSL","WEEKDAY",1,37,73287.4333333333,1.1599999,"heavy",0.116735674440861,0.968482910943983,"Very High"
"3",133,"NS17","Bishan","NSL","WEEKDAY",1,37,63998.55,1,"heavy",0.0374981537461281,0.444507160664759,"Very High"
"4",134,"NS18","Braddell","NSL","WEEKDAY",1,37,51688.9,1,"heavy",0.036195483058691,0.435892960664153,"Very High"
"5",140,"NS24","Dhoby Ghaut","NSL","WEEKDAY",1,37,32796.8777777778,0.932584889995849,"heavy",0.0155393229797482,0.299299502409076,"Very High"
"6",144,"NS28","Marina South Pier","NSL","WEEKDAY",0,37,3466.01111111111,1.004,"heavy",0.0140986135229468,0.289772490307445,"Very High"
"7",132,"NS16","Ang Mo Kio","NSL","WEEKDAY",1,37,165196.466666667,1.042,"heavy",0.013492476195097,0.28576427225181,"Very High"
"8",140,"NS24","Dhoby Ghaut","NSL","WEEKEND/HOLIDAY",1,37,10966.9222222222,0.932584889995849,"heavy",0.0132876560091972,0.284409853162998,"Very High"
"9",130,"NS14","Khatib","NSL","WEEKDAY",1,37,125262.566666667,1.142,"heavy",0.0130947483703494,0.283134208444263,"Very High"
"10",136,"NS20","Novena","NSL","WEEKDAY",1,37,140535.933333333,0.978,"heavy",0.0129188429564238,0.281970994723897,"Very High"
"11",129,"NS13","Yishun","NSL","WEEKDAY",1,37,199545.566666667,1.142,"heavy",0.0121745262295008,0.277049034621973,"Very High"
"12",143,"NS27","Marina Bay","NSL","WEEKDAY",1,37,7977.51111111111,0.932584889995849,"heavy",0.0121389422565699,0.276813727677095,"Very High"
"13",121,"NS4","Choa Chu Kang","NSL","WEEKDAY",1,37,144292.166666667,1.058,"heavy",0.0119462292641401,0.275539370101144,"Very High"
